Utopia
SOL 1
SOL 1
CAPIVARA 1
UTOPIA -3
CAPIVARA 4
JACARÉ -5
UTOPIA +2 A
UTOPIA -2 B
CAPIVARA 2
COMIDA 2
ÁGUA 1
UTOPIA 0
SOL 3
UTOPIA +1
SOL 3
UTOPIA +3
UTOPIA -3
UTOPIA 0
UTOPIA -2 A
UTOPIA +2 E
ÁGUA 1
UTOPIA -2 G
UTOPIA -1
COMIDA 3
COMIDA 1
COMIDA 2
CAPIVARA 3
SOL 2
UTOPIA +3
SOL 2
UTOPIA +1
UTOPIA +1
JACARÉ -5
UTOPIA +3
CAPIVARA 2
ÁGUA 2
COMIDA 4
ÁGUA 4
ÁGUA 3
SOL 4
UTOPIA -2 E
ÁGUA 2
UTOPIA +2 N
COMIDA 3
UTOPIA -2 T
COMIDA 2
UTOPIA -1
UTOPIA 0
UTOPIA +1
UTOPIA -1
CAPIVARA 1
COMIDA 1
COMIDA 1
UTOPIA +3
COMIDA 1
UTOPIA 0
CAPIVARA 1
COMIDA 1
UTOPIA -2 N
UTOPIA -3
UTOPIA +2 B
CAPIVARA 1
UTOPIA 0
COMIDA 2
CAPIVARA 1
CAPIVARA 3
ÁGUA 2
ÁGUA 1
CAPIVARA 2
ÁGUA 1
COMIDA 1
CAPIVARA 2
SOL 1
ÁGUA 3
UTOPIA 0
ÁGUA 1
UTOPIA +2 G
ÁGUA 2
UTOPIA +2 T
ÁGUA 1
CAPIVARA 1
SOL 1
