Ação
Permite o jogador trocar uma carta da sua Utopia por uma da própria mão
O jogador pode trocar uma carta de sua mão com uma carta da mão de outro oponente
Remove carta de alguma Utopia (exceto do Jacaré) para o lixo
"Neutraliza qualquer carta de dano de qualquer pontuação, exceto Jacaré"
Remove o Jacaré da Utopia para o monte de Utopia
Remove o Jacaré da Utopia para o monte de Utopia
"Neutraliza qualquer carta de dano de qualquer pontuação, exceto Jacaré"
Remove o Jacaré da Utopia para o monte de Utopia
O jogador rouba uma carta da mão de um oponente
"Neutraliza qualquer carta de dano de qualquer pontuação, exceto Jacaré"
Afeta todas as Utopias (todos tem que retirar alguma de requisito)
O jogador rouba uma carta da mão de um oponente
Permite o jogador trocar uma carta da sua Utopia por uma da própria mão
"Neutraliza qualquer carta de dano de qualquer pontuação, exceto Jacaré"
Transfere o jacaré de uma Utopia para outra
O jogador pode espiar o personagem de alguém
Trocar carta da sua Utopia (Requisito) com a da Utopia de alguém (Requisito)
Remove o Jacaré da Utopia para o monte de Utopia
O jogador fica bloqueado de jogar na sua próxima vez
Remove carta de alguma Utopia (exceto do Jacaré) para o lixo
Permite o jogador resgatar uma carta de qualquer lixo
Trocar carta da sua Utopia com a da Utopia de alguém
O jogador pode espiar o personagem de alguém
Remove a carta da mão de alguém para o lixo
"Neutraliza qualquer carta de dano de qualquer pontuação, exceto Jacaré"
Permite o jogador resgatar uma carta de qualquer lixo
Remove carta de alguma Utopia (exceto do Jacaré) para o lixo
"Neutraliza qualquer carta de dano de qualquer pontuação, exceto Jacaré"
O jogador pode espiar uma carta da mão de alguém
Remove o Jacaré da Utopia para o monte de Utopia
O jogador pode trocar uma carta de sua mão com uma carta da mão de outro oponente
Remove o Jacaré da Utopia para o monte de Utopia
"Neutraliza qualquer carta de dano de qualquer pontuação, exceto Jacaré"
Trocar carta da sua Utopia com a da Utopia de alguém
O jogador pode espiar uma carta da mão de alguém
"Neutraliza qualquer carta de dano de qualquer pontuação, exceto Jacaré"
Remove o Jacaré da Utopia para o monte de Utopia
Remove o Jacaré da Utopia para o monte de Utopia
O jogador fica bloqueado de jogar na sua próxima vez
Trocar carta da sua Utopia (Requisito) com a da Utopia de alguém (Requisito)
